$	05109766
Chippewa	50005204
Chipre	06436334 06436474
Chirac	50001549
Chiriguano	50005263
Chisinau	06575623
Chocho	50005264
Choctaw	50005265
Cholo	50005266
Chongqing	06420724
Chopin	07705669
Chorote	50005267
Chorotí	50005268
Chorti	50005269
Chosen	06540738
Chroogomphus_rutilus	50001929
Chroogomphus_rutilus_(Schff,_ex_Fr.)_O.K._Miller.	50001929
Chuang-tzu	06887055
Chungking	06420724
Churchill	50001550
CiU	50001226
Cibeles	06932964
Cidacos	50004334
Cilindro_de_Marboré	50005615
Cimabue	07706390
Cimarrón	06817536
Cinca	50004179
Cincinnati	06635815
Cinoscéfalos	00829201
Cisne	06771056
Ciudad_Bolívar	06650128
Ciudad_Condal	06583156
Ciudad_Real	50004712 50004883
Ciudad_de_Méjico	06429119
Ciudad_del_Cabo	06568420
Ciudad_del_Vaticano	06649462
Clariano	50004335
Clathrus_cancellatus	50001882
Clathrus_cancellatus_._Toum_ex_Fr.	50001882
Clathrus_ruber	50001882
Clathrus_ruber_._(Mich._ex_Pers.)	50001882
Clavaria_rugosa	50001998
Clavaria_rugosa_Bull.:_Fr.	50001998
Clavariadelphus_truncatus	50001881
Clavariadelphus_truncatus_(Quél._)_Donk	50001881
Clavulina_rugosa	50001998
Clavulina_rugosa_(Fr.)_Schroeter	50001998
Cleopatra	07706564
Cleveland	06635647
Clio	06911796
Clitocybe_alexandri	50001999
Clitocybe_alexandri_(Gillet)_Konrad	50001999
Clitocybe_aurantiaca	50001963
Clitocybe_aurantiaca_Studer	50001963
Clitocybe_geotropa	50002000
Clitocybe_geotropa_(Bull.:_Fr.)_Quél.	50002000
Clitocybe_nebularis	50001903
Clitocybe_nebularis_Batsch_ex_Fr.	50001903
Clitocybe_odora	50001893
Clitocybe_odora_(Bull,_ex_Fr.)_Kummer.	50001893
Cobol	05166867
Cofan	50005270
Colgadizos	50005775
Collada_de_Toses	50005760
Collado_Blanco	50005792
Collybia_caulicinalis	50002004
Collybia_caulicinalis_(Bull.)_Schroet.	50002004
Collybia_dryophila	50002001
Collybia_dryophila_(Bull.:_Fr.)	50002001
Collybia_fusipes	50001946
Collybia_fusipes_(Bull._ex_Fr.)_Quél.	50001946
Collybia_velutipes	50001957
Collybia_velutipes_(Curt.)_Quél.	50001957
Colombia	06422916
Colombo	06415410
Colonia	06444669
Colorado	06604435 06818320 50005271
Colorado_Springs	06604895
Columbia	06639474 06818468
Columbus	06635463
Colón	07707173
Coma_Berenices	06770316
Comercio_Justo	50005153
Comisiones	50001231
Comisiones_Obreras	50001231
Comiteco	50005257
Comité_Olímpico_Internacional	50001201
Commedia_dell'Arte	05263646
Commonwealth	06297757
Comores	06423619
Companys	50001570
Comunidad_Económica_Europea	06076411
Comunidad_Valenciana	50004742
Comunidad_de_Madrid	50004747
Conakry	06535742
Conca_de_Barberà	50004778
Conchinchina	06272257
Conde_Drácula	50004989
Confederación	06596424
Confucio	07707299
Congo	06818791
Congo_belga	06424144
Congost	50004336
Congreso_de_los_Diputados	50004430
Conibo	50005293
Connecticut	06605075
Conneticut	06605316
Conocybe_inocybeoides	50001883
Conocybe_inocybeoides_Watling	50001883
Conocybe_lactea	50001904
Conocybe_lactea_(Lge.)_Metr.	50001904
Constantinopla	06592068
Convención_de_Ginebra	05075482
Convergència_Democràtica_de_Catalunya	50001209
Convergència_i_Unió	50001226
Copenhagen	06438714
Coprinus_comatus	50001915
Coprinus_comatus_S._F._Gray._(Muller_ex_Fr.).	50001915
Coprinus_disseminatus	50001947
Coprinus_disseminatus_(Pers._ex_Fr.)_S._F._Gray.	50001947
Coprinus_hiascens	50001926
Coprinus_hiascens_(Bull,_ex_Fr.).	50001926
Coprinus_micaceus	50001884
Coprinus_micaceus_(Bull,_ex_Fr.)_Fr.	50001884
Coprinus_niveus	50001948
Coprinus_niveus_(Pers._ex_Fr.)_Fr.	50001948
Coprinus_spilosporus	50001885
Coprinus_spilosporus_Romagnesi	50001885
Cora	50005294
Corb	50004337
Corbones	50004338
Corea	06540456
Corea_del_Norte	06540844
Corea_del_Sur	06541310
Corinto	06452206
Coriscao	50005743
Corneja	50004339
Corneros	50004340
Corona_Austral	50000670
Corona_Boreal	06770493
Corpus	10910008
Corpus_Cristi	10910008
Corregidor	00823317
Cortinarius_bulliardi	50001949
Cortinarius_bulliardi_(Fr.)_Fr.	50001949
Cortinarius_calochrous	50001886
Cortinarius_calochrous_(Pers,_ex_Fr.)_Fr.	50001886
Cortinarius_cotoneus	50002002
Cortinarius_cotoneus_Fr.	50002002
Cortinarius_elatior	50001950
Cortinarius_elatior_Fr.	50001950
Cortinarius_glaucopus	50001951
Cortinarius_glaucopus_(Schff._ex_Fr.)_Fr.	50001951
Cortinarius_infractus	50001887
Cortinarius_infractus_(Pers,_ex_Fr.)_Fr.	50001887
Cortinarius_majusculus	50002003
Cortinarius_majusculus_Kühner	50002003
Cortinarius_multiformis	50001928
Cortinarius_multiformis_(Fr.)_Fr.	50001928
Cortinarius_orellanus	50001952
Cortinarius_orellanus_(Fr.)_Fr.	50001952
Cortinarius_rufoolivaceus	50001888
Cortinarius_rufoolivaceus_(Pers,_ex_Fr._)_Fr.	50001888
Cortinarius_torvus	50001954
Cortinarius_torvus_(Bull._ex_Fr.)_Fr.	50001954
Cortinarius_trivialis	50001889
Cortinarius_trivialis_Lge.	50001889
Cortinarius_varius	50001955
Cortinarius_varius_Fr.	50001955
Cortinarius_vitellinus	50002003
Cortinarius_vitellinus_Mos.	50002003
Costa_Rica	06424874
Costa_de_Marfil	06425239
Cotacachi	06656429
Coto_de_Doñana	50005383
Cotopaxi	06656563
Coventry	06500406
Cracovia	06557713
Creación	00154105
Crecy	00828754
Cree	50005295
Crepidotus_variabilis	50001890
Crepidotus_variabilis_(Pers,_ex_Fr.)_Kummer	50001890
Creta	06451202
Cri	50005295
Crimea	06576086
Crinipellis_stipitaria	50002004
Crinipellis_stipitaria_(Fr.)_Pat.	50002004
Cristo	07731120
Cristóbal_Colón	07707173
Croacia	06468938
Cromwell	07708178
Crono	06904697
Cronos	06904697
Crow	50005296
Cruz_Austral	06769030
Cruz_Roja	05998735
Crío	06918891
Cuadragésima	10909223
Cuaresma	10909223 10950231
Cuba	06432670 06432815
Cubillas	50004341
Cuchillón	50005740
Cuenca	50004714 50004874
Cuervo	50005296
Cuicateco	50005297
Cumanagoto	50005298
Cumberland	06818990
Cuna	50005299
Cunaxa	00828999
Cupido	06906372
Cytidia_flocculenta	50001991
Cytidia_flocculenta_(Fr.)_V._Hoehn_et_L.	50001991
Cáceres	50004711 50004887
Cádiz	06583398 50004707
Cámara_de_Representantes	06070031
Cáncer	06771654
Cáritas	50001240 50005150
Cávado	50004342
Célebes	06513723
César	07703440
Córcega	06530676 06530834
Córcoles	50004343
Córdoba	06583621 50004706
D	02102542
D._rosea	50001956
DC	10880983
DEG	09597419
DF	06305411
DIU	02468610
DJ	07218150
Dafne	06899133
Dahomei	06437135
Dakar	06565668
Dakota	50005300
Dakota_del_Norte	06634473
Dakota_del_Sur	06639771
Dalai_Lama	07199741
Dallas	06641632
Dalton	07708278
Damasco	06588905
Daniel_Boone	07701954
Dante	07708649
Dante_Alighieri	07708649
Danubio	06819258
Dapsang	06712841
Dar-es-Salaam	06589587
Dardanelos	06591884
Darling	06819534
Darwin	06481167 07708872
Daró	50004344
De_Gaulle	50001547
Delastria_rosea	50001956
Delastria_rosea_Tul.	50001956
Delaware	06605939 06606172 06819673 50005301
Delfos	06452548
Delhi	06510252
Demeter	06905240
Demóstenes	07709742
Denver	06604683
Descartes	07709852
Deseada	50005635
Desiderius_Erasmus	07714504
Desierto_Arábigo	06653501
Desierto_de_Atacama	06653635
Desierto_de_Australia	06653777
Desierto_de_Gobi	06654239
Desierto_de_Libia	06654489
Desierto_de_Mohave	06654605
Desierto_de_Patagonia	06655291
Desierto_del_Kalahari	06654347
Desierto_del_Sahara	06655418
Desierto_del_Sinaí	06655757
Desierto_del_Sáhara	06655418
Detroit	06619276
Deva	50004345
Dewey	07709952
Deza	50004346
Dhaka	06490807
Dharma	06879480
Dhaulagiri	06713659
Diana	06903959
Diesel	02568154
Dinamarca	06438303
Dioniso	06905529
Dios_Padre	06889800
Dios_Todopoderoso	06889275
Director_General_de_Correos	07490502
Dl	09794734
Doha	06559615
Domingo_de_Ramos	10908340
Domingo_de_Resurrección	10905206
Dominica	06439398
Don	06819981
Don_Quijote	06935401 07223052
Donetz	06576670
Donne	07710044
Dorje_Shugden	50001154
Dos_Hermanas	50005793
Dostoevski	07710136
Douala	06413956
Dover	06606284
Dragón	06771384
Dresden	06443844
Drácula	50004989
Dublín	06503476
Duero	50000916
Durán	50004464
Dushanbe	06579986
Día_de_la_Ascensión	10909705
Düsseldorf	06444921
E.E.U.U	06187452
E.E.U.U.	06593275
E.H.	50001228
E.R.C.	50001212
E._agaricoides	50002005
E._madidum	50001930
E._mammosum	50001931
ECG	05255719
EH	50001228
ERC	50001212
Ebro	06820129
Ecuador	06447085
