$	dólar
maceta	jardinera tiesto
machacar	aplastar chafar estrujar hacer_añicos majar moler picar triturar
machacón	lapa moscardón moscón pelma pesado plaga
machiega	abeja_reina maesa maestra
macho	acotillo almádana almádena
macilento	delicado débil enfermizo
maciza	belleza bombón preciosidad
macizo	consistente firme fuerte recio sólido
macrocosmos	cosmos mundo naturaleza universo
macular	deteriorar ensuciar estropear manchar
madera	calaña naturaleza
madero	bofia gris guili guindilla guripa marrón pasma pitufo poli polizonte
madre	matriz seno
madre_patria	patria país_de_origen
madriguera	cubil encame guarida huronera manida
maduración	crecimiento desarrollo
madurar	aviejar envejecer
madurez	plenitud riqueza
maesa	abeja_reina machiega maestra
maestra	abeja_reina machiega maesa maestro profesional profesor profesora
maestranza	armería
maestro	diestro lidiador maestra matador profesional profesor
maestría	arte
magia	ilusión trampantojo truco
magistrado	juez
magnetoscopio	vcr video videograbadora vídeo
magnificencia	brillantez esplendor fasto fastuosidad grandeza grandiosidad lujo opulencia suntuosidad
magnánime	dadivoso desprendido espléndido garboso generoso magnífico pródigo
magnífico	brutal bárbaro clamoroso dadivoso desprendido divino esplendoroso espléndido estupendo excelente extraordinario fantástico fastuoso fenomenal flamante formidable garboso generoso genial glorioso gran grande magnánime maravilloso pródigo resplandeciente sensacional
mago	ilusionista
magulladura	cardenal golpe hematoma morado
magullar	destrozar
majadero	alcornoque atún bobales bobalicón bodoque borrico cateto cebollino ceporro cernícalo ganso gaznápiro lechuzo lila mentecato percebe tarado tontaina tontorrón vaina zopenco
majadería	animalada barbaridad burrada chorrada despropósito disparate estupidez idiotez
majar	aplastar chafar estrujar machacar moler picar
majara	chalado chiflado ido majareta sonado tarado tocado
majareta	chalado chiflado ido majara sonado tarado tocado
majestuoso	espléndido imperial imponente noble púrpura real regio
mal	agonía arriesgado daño destrozo hostil inseguro maldad malo malvado martirio perjudicial perjuicio suplicio tormento
mala_calidad	pobreza
mala_conducta	maldad
mala_leche	genio
malar	hueso_cigomático
maldad	mal mala_conducta pecado
maldecir	blasfemar jurar
maldición	imprecación
maldito	condenado
maleducado	basto descortés grosero rudo tosco
malestar	inquietud intranquilidad
maleta	bolsa_de_viaje
maleza	breña
malhechor	criminal delincuente transgresor
malhumorado	cascarrabias gruñón hosco
malicioso	malvado pecador pecaminoso perverso
malo	arriesgado hostil inseguro mal malvado perjudicial
malparar	abusar
malparir	perder
malvado	hostil infame inicuo mal malicioso malo nefario pecador pecaminoso perjudicial perverso
mama	mami
mamado	ajumado borracho ciego curda curdela pedo
mameluco	berzotas bobo cipote estúpido imbécil panoli primo tonto
mami	mama
mamporro	hostia lechazo leche piña
manada	masa multitud turba
manantial	brollador emanación fuente fuente_natural surtidor
manar	brotar correr crecer fluir
manazas	chapucero chapuzas descuidado torpe
manceba	amante amiga entretenida
mancebía	burdel casa_de_mala_reputación casa_de_putas lupanar meublé prostíbulo
mancha	estigma marca mota mácula
mancha_de_nacimiento	antojo rosa
manchado	dañado
manchar	cubrir deteriorar embadurnar embarrar empañar ensuciar estropear macular oscurecer teñir untar
mandado	embajada
mandanga	chocolate hachich hachís quif
mandar	comandar cursar despachar dictar echar embarcar enviar expedir imponer ordenar remitir transportar
mandato	administración autorización comisión disposición encargo orden poder procura
manecilla	índice
manejable	práctico
manejar	conducir empuñar esgrimir manipular tratar
manejo	manipulación
manera	forma modo
manera_de_ser	carácter disposición talante temperamento
maneras	comportamiento conducta
mangana	lazo
mangancia	aletazo arana chorizada embaimiento embaucamiento engañifa engaño estafa fraude mangueo petardo pufo superchería timo tocomocho
mangante	aprovechón buitre gorrón
mangueo	chorizada estafa mangancia
manida	cubil encame guarida huronera madriguera
manifestación	afirmación declaración expresión reflejo
manifestar	certificar decir declarar demostrar indicar probar revelar
manifiesto	claro declarado evidente explícit explícito expreso obvia ostensible patente
manillar	guía
maniobra	operación
manipulación	manejo
manipular	amañar controlar empuñar esgrimir manejar
maniquí	modelo
mano	baño capa pie revestimiento
mano_derecha	derecha
mano_izquierda	izquierda
manola	paja
manotada	azotaina bicoca cachete cale manotazo torta
manotazo	azotaina bicoca cachete cale manotada torta
manso	dócil
manta	badana flojo frazada
mantecao	achuchón caliqueño casquete clavo follada kiki polvete polvo
mantecón	alfeñique mariquita
mantener	conservar continuar defender guardar luchar_por persistir preservar seguir sostener
mantenerse	quedarse
mantenerse_al_día	seguir
mantenido	conquistador don_juan gigolo gigoló
mantenimiento	sostenimiento sustentación sustento
mantillo	abono_orgánico
manto	capa
manía	agravio animosidad costumbre_personal idiosincrasia inquina peculiaridad repulsió
mapa	plano
maqueta	boceto
maquinización	automación automatización mecanización
mar	océano
maravilla	admiración asombro entusiasmo fascinación milagro monstruo portento prodigio superdotada
maravillar	asombrar
maravilloso	brutal bárbaro clamoroso encantador esplendoroso espléndido estupendo extraordinario fantástico fastuoso fenomenal flamante formidable genial glorioso hermoso magnífico precioso resplandeciente sensacional
maraña	atolladero berenjenal boscaje bosquete broza complicación embrollo enredo floresta laberinto lío matorral
marca	cruz entramado estigma indicador mancha señal signo
marcado	claro definido estropeado iconfundible inconfundible
marcador	tarjeta
marcar	anotar fichar impresionar picar registrar señalar
marcar_el_ritmo	golpetear martillear
marcha	funcionalidad funcionamiento función operación operatividad partida paso procedimiento ritmo salida
marchar	ir partir salir
marcharse	abandonar dejar despegar irse largarse partir retirarse salir
marchitar	abrasar agostarse chamuscar quemar
marchito	reseco seco
marco	alcance bastidor campo esfera marco_teórico modelo ámbito
marco_teórico	marco modelo
marear	menear menearse sacudir
mareo	ansia arcada asco basca
marfil	perla
margen	borde canto orilla
marginal	insignificante
marica	bujarra bujarrón loca maricón mariposa mariposón moña pluma puto
maricón	bujarra bujarrón loca marica mariposa mariposón moña pluma puto
mariguana	hierba marihuana maría
marihuana	cannabis chocolate cáñamo grifa hierba mariguana marijuana maría yerba
marijuana	cannabis chocolate cáñamo grifa hierba marihuana maría yerba
marino	marítimo
mariposa	bujarra bujarrón loca marica maricón mariposón moña pluma puto
mariposón	bujarra bujarrón loca marica maricón mariposa moña pluma puto
mariquita	alfeñique mantecón
marjal	cenagal ciénaga pantano paular paúl
maroma	cuerda_gruesa
marrano	cochino cocho gorrino guarro
marrón	bofia bruno gris guili guindilla guripa madero pardo pardusco pasma pitufo poli polizonte
martillar	clavar martillear
martillear	clavar golpetear marcar_el_ritmo martillar tamborear
martirio	agonía mal suplicio tormento
marxista	bolchevique rojo
maría	cannabis chocolate cáñamo grifa hierba mariguana marihuana marijuana yerba
marítimo	fluvial marino
masa	batallón ejército gente manada mole montón multitud pasta pueblo turba volumen
masacre	carnicería matanza mortandad
masada	cortijo estancia granja hacienda heredad labranza masía
masadero	colono quintero
mascar	mordisquear picar
masculino	hombruno viril
mascullar	murmurar
masivo	arrollador colosal descomunal extenso extensísimo extraordinario monumental
masía	cortijo estancia granja hacienda heredad labranza masada
matachín	bullanguero camorrista gallito gamberro gorila hampón matasiete matón pendenciero perdonavidas rufián
matador	diestro lidiador maestro
matamoros	baladrón bocón bravucón echador facistol fanfarrón fantasma fantoche farolero jactancioso jaque jaquetón matasiete palangana plantista presumido rajón
matanza	carnicería homicidio masacre mortandad muerte
matasiete	baladrón bocón bravucón bullanguero camorrista echador facistol fanfarrón fantasma fantoche farolero gallito gamberro gorila hampón jactancioso jaque jaquetón matachín matamoros matón palangana pendenciero perdonavidas plantista presumido rajón rufián
matemáticas	ciencias_exactas
matemático	exacto numérico
materia	asunto cuestión sustancia
material	corpóreo
materializarse	acaecer realizarse suceder
matern	maternal paternal
maternal	matern materno paternal
materno	maternal
matiz	apariencia aspecto color tono
matizar	dirigir moderar teñir
matorral	boscaje bosquete broza floresta maraña
matrimonio	connubio cónyugues enlace unión
matriz	madre seno
matón	bullanguero camorrista gallito gamberro gorila hampón matachín matasiete pendenciero perdonavidas rufián
maximalista	extremista radical
mayor	adulta adulto exterior máximo superior
mazo	bulto lío
maña	artesanía destreza habilidad idea ingenio ingeniosidad inventiva tino traza
mañoso	artero astuto diestro hábil
mecanismo	aparato dispositivo
mecanización	automación automatización maquinización
mecer	balancear balancearse bambolear columpiar mecerse oscilar
mecerse	balancear balancearse bambolear mecer oscilar
medalla	condecoración
media_luz	penumbra
medial	mediano
mediano	corriente intermedio medial medio mediocre ordinario regular
mediar	arbitrar interceder
medicamento	medicina
medicina	medicamento
medicinal	curativo remediador sanador terapéutico
medición	lectura
medida	cantidad cuantía
medieval	caballeresco
medio	centro corazón entorno intermedio mediano método
medio_de_transporte	transporte
mediocre	corriente mediano ordinario regular
meditación	cavilación especulación pensamiento reflexión
meditar	asimilar digerir ponderar reflexionar
medrar	crecer prosperar
mejor	incrementado
mejora	cambio variedad
mejorar	abrir aclarar aclararse adelantar curarse despejar despejarse ganar progresar remitir
melancolía	desdicha taciturnidad tristeza
melancólico	deprimente desalentador desconsolado desolador lóbrego lúgubre macabro monótono negro oscuro sombrío triste
melodía	aire
melopea	borrachera cuchipanda francachela
melón	alcornoque animal bobo burro ceporro cernícalo cipote imbécil mendrugo rocín tarugo tonto zoquete
membrillo	blandengue mollejón
memo	bobo corto estúpido idiota memorando memoria tonto
memorando	memo memoria
memoria	almacén disertación memo memorando tesina tesis
mena	filón vena
mencionado	antedicho citado dicho mentado
mencionar	aludir apuntar citar comentar mentar nombrar
mención	cita referencia remisión
mendrugo	alcornoque animal bobo burro ceporro cernícalo cipote imbécil melón rocín tarugo tonto zoquete
menear	agitar contonearse marear menearse sacudir
menearse	contonearse marear menear sacudir
menguar	atenuar disminuir
menor	benjamina benjamín pequeña
menospreciar	despreciar rebajar
menosprecio	desaire desdén desecho desprecio feo
menstruación	menstruo mes
menstruo	menstruación mes
mentado	antedicho citado dicho mencionado
mental	intelectual racional
mentar	aludir citar mencionar nombrar
mente	cabeza cerebro
mentecato	alcornoque atún bobales bobalicón bodoque borrico cateto cebollino ceporro cernícalo ganso gaznápiro lechuzo lila majadero percebe tarado tontaina tontorrón vaina zopenco
