$	dólar
aniversario	cumpleaños
anochecer	anochecida anochecido atardecer atardecida noche
anochecida	anochecer anochecido atardecida
anochecido	anochecer anochecida atardecida
anomalía	anormalidad irregularidad
anormalidad	anomalía deficiencia_mental irregularidad retraso
anotación	glosa notación
anotar	apuntar marcar
ansia	afán angustia anhelo ansiedad arcada ardor asco basca mareo pasión preocupación regosto
ansiedad	angustia ansia preocupación
ansiolítico	calmante sedante
ansioso	anhelante deseoso impaciente inquieto nervioso ávido
antagonista	adversaria adversario contendedor contraria contrario
antagónico	antitético contradictorio contrario incompatible opuesto
antecedente	previo
antecesor	antepasado
antecocina	fregadero office recocina
antecámara	antesala entrada hall recibidor vestíbulo
antedicho	citado dicho mencionado mentado
antediluviano	anticuado
antepasado	antecesor padre
anterior	delantero precedente previo
antesala	antecámara entrada hall recibidor vestíbulo
anticipación	previsión
anticipar	adelantar prever
anticipo	adelanto arras entrada paga_y_señal señal
anticuado	antediluviano antiguo desfasado obsoleto pasado viejo
antideportivo	sucio
antiguo	anticuado desfasado obsoleto viejo
antipatía	desagrado
antipático	adverso contradictorio contrario desagradable desapacible grosero insultante irritante molesto ofensivo opuesto
antitético	antagónico contradictorio contrario opuesto
antojo	capricho mancha_de_nacimiento rosa ventolera
anudar	atar
anuencia	aprobación beneplácito condescendencia consenso consentimiento fíat otorgamiento
anular	borrar destruir eliminar esconder interrumpir invalidar neutralizar obliterar obscurecer ofuscar oscurecer retractar revocar suprimir tachar
anunciar	potenciar proclamar
anuncio	agüero cartel comunicación notificación pancarta pregón premonición presagio proclama proclamación spot
análisis	escrutinio examen inspección
análogo	afín correspondiente relacionado
anástrofe	inversión
anécdota	chilindrina
anónimo	desconocido
apacentar	pacer pastar
apacible	calmado calmo plácido quieto sereno sosegado suave templado tranquilo
apaciguar	aliviar aplacar calmar pacificar sosegar suavizar
apaciguarse	callarse serenarse sosegar
apagado	débil flojo gris sombrío sordo
apagar	amortiguar enmudecer reprimir
aparato	dispositivo mecanismo ostentación pompa sistema
aparato_de_radio	radio
aparato_de_televisión	caja_tonta tele televisión
aparear	acoplar aparearse casar emparejar
aparearse	aparear emparejar
aparecer	abalanzarse asomar asomarse comparecer emerger estrenarse presentarse salir surgir
aparentar	fingir simular
aparición	fantasma visión
apariencia	aspecto cara color engaño estampa expresión fingimiento matiz presencia pretensión pretexto
